"Mobiliteit in Nederland; vervoerwijzen en motieven, regio's";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerpen;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Verplaatsingen per persoon per dag;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Afgelegde afstand per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing;Reisduur per verplaatsing
;Perioden;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011
;Vervoerwijzen;Totaal vervoerwijzen;Auto (bestuurder);Auto (passagier);Trein;Bus/tram/metro;Brom-/snorfiets;Fiets;Lopen;Overige vervoerwijzen;Totaal vervoerwijzen;Auto (bestuurder);Auto (passagier);Trein;Bus/tram/metro;Brom-/snorfiets;Fiets;Lopen;Overige vervoerwijzen;Totaal vervoerwijzen;Auto (bestuurder);Auto (passagier);Trein;Bus/tram/metro;Brom-/snorfiets;Fiets;Lopen;Overige vervoerwijzen;Totaal vervoerwijzen;Auto (bestuurder);Auto (passagier);Trein;Bus/tram/metro;Brom-/snorfiets;Fiets;Lopen;Overige vervoerwijzen;Totaal vervoerwijzen;Auto (bestuurder);Auto (passagier);Trein;Bus/tram/metro;Brom-/snorfiets;Fiets;Lopen;Overige vervoerwijzen;Totaal vervoerwijzen;Auto (bestuurder);Auto (passagier);Trein;Bus/tram/metro;Brom-/snorfiets;Fiets;Lopen;Overige vervoerwijzen
Populatie;Regio's;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;km;km;km;km;km;km;km;km;km;km;km;km;km;km;km;km;km;km;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten;minuten
Totaal bevolking;Nederland;0.48;0.25;0.03;0.02;0.02;0.01;0.11;0.03;0.01;0.49;0.26;0.02;0.02;0.02;0.01;0.12;0.03;0.01;17.6;22.92;23.11;37.53;12.81;7.55;4.57;2.51;28.72;17.75;23.86;24.97;38.35;13.37;8.75;4.5;2.68;22.59;28.14;29.38;29.49;66.39;43.31;20.34;18.28;11.95;35.87;27.39;28.89;31.78;64.48;42.4;19.8;18.46;12.38;30.56
Totaal bevolking;Groningen (PV);0.44;0.22;0.03;0;0;0;0.12;0.03;0;0.46;0.23;0.02;0;0;0;0.15;0.02;0;17.02;21.91;30.94;0;0;0;4.43;2.94;0;18.82;27.77;33.8;0;0;0;4.05;3.13;0;26.21;26.67;33.17;0;0;0;18.12;18.67;0;26.53;29.14;31.81;0;0;0;19.29;17.65;0
Totaal bevolking;Friesland (PV);0.45;0.24;0.02;0;0;0;0.13;0.02;0;0.47;0.27;0.03;0;0;0;0.12;0.02;0;18.21;25.88;32.89;0;0;0;3.3;1.46;0;17.94;24.56;35.61;0;0;0;3.42;1.94;0;23.66;27.33;31.94;0;0;0;14.9;8.58;0;23.35;26.33;32.94;0;0;0;13.9;23.55;0
Totaal bevolking;Drenthe (PV);0.46;0.29;0.03;0;0;0;0.08;0.02;0;0.52;0.31;0.03;0;0;0;0.12;0.02;0;20.72;24.33;29.36;0;0;0;4.05;1.95;0;19.81;23.48;39.54;0;0;0;4.41;2.32;0;25.45;26.65;28.97;0;0;0;15.77;9.5;0;23.82;24.29;35.93;0;0;0;15.82;11.58;0
Totaal bevolking;Overijssel (PV);0.48;0.26;0.03;0;0;0;0.13;0.02;0;0.51;0.27;0.02;0;0;0;0.15;0.02;0;18.6;24.54;25.49;0;0;0;4.96;2.42;0;18.74;25.23;19.49;0;0;0;4.28;2;0;27.37;29.75;30.24;0;0;0;19.34;16.06;0;25.3;28.05;26.6;0;0;0;15.22;7.74;0
Totaal bevolking;Flevoland (PV);0.51;0.28;0.04;0;0;0;0.1;0.02;0;0.52;0.3;0.02;0;0;0;0.09;0.02;0;23.1;30.75;21.88;0;0;0;3.43;3.43;0;24.71;30.39;39.76;0;0;0;3.67;3.64;0;31.36;33.72;30.47;0;0;0;16.5;12.36;0;33.09;33.25;49.47;0;0;0;13.69;9.38;0
Totaal bevolking;Gelderland (PV);0.47;0.26;0.03;0;0;0;0.11;0.02;0.02;0.51;0.28;0.02;0;0;0;0.13;0.03;0;18.65;23.65;27.93;0;0;0;4.05;2.05;23.56;18.63;25.24;25.12;0;0;0;4.57;1.74;0;27.1;27.7;31.27;0;0;0;18.22;7.38;29.24;26.92;29.33;30.41;0;0;0;18.33;9.14;0
