LA Region Name,LAD10CD,Year,A. Industry and Commercial Electricity,B. Industry and Commercial Gas,C. Large Industrial Installations,D. Industrial and Commercial Other Fuels,E. Agricultural Combustion,Industry and Commercial Total,F. Domestic Electricity,G. Domestic Gas,H. Domestic 'Other Fuels',Domestic Total,I. Road Transport (A roads),J. Road Transport (Motorways),K. Road Transport (Minor roads),L. Diesel Railways,M. Transport Other,Transport Total,N. LULUCF Net Emissions,Grand Total,"Population                                              ('000s, mid-year estimate)",Per Capita Emissions (t)
Darlington,00EH,2005,165.9,139.9,0,29,4,338.7,100.6,156.5,31.5,288.7,87.6,49,74.2,6.1,5.2,222.1,4.1,853.6,100.3,8.5
Durham,00EJ,2005,727.6,347.6,297,210.6,36.4,1619,451.4,773.2,174.1,1398.7,479.1,219,288.1,32.8,6,1025,1.3,4044.1,497.2,8.1
Gateshead,00CH,2005,349.1,193.7,0.7,65.2,1.1,609.8,177.9,320.8,9.1,507.7,223.2,29.7,215.8,3.5,1.8,473.9,0.2,1591.6,192.9,8.3
Hartlepool,00EB,2005,206,71.8,173.1,28.4,1.3,480.6,80.8,133.5,32.5,246.9,91.1,0,70.4,0.8,0.9,163.2,0.3,890.9,90.5,9.8
Middlesbrough,00EC,2005,294.8,80.9,4.1,21.1,0.5,401.3,121.8,196.1,4.3,322.3,141.8,0,166.3,1.8,1.2,311.2,-0.9,1033.7,138.5,7.5
Newcastle upon Tyne,00CJ,2005,492.1,268,0.5,40.5,1,802.1,256.2,403.8,10,670,216.6,12,222.7,3.7,13.2,468.2,1.4,1941.7,269.6,7.2
North Tyneside,00CK,2005,339.8,193.1,0.6,46.8,0.7,581,185.4,319.4,8.1,512.9,165.9,0,150,4.4,1.9,322.1,1.2,1417.2,194.1,7.3
Northumberland,00EM,2005,607.1,338.9,3013.2,171.5,103.6,4234.2,335.6,420.4,184.9,940.9,483.5,0,145.1,32.7,4.5,665.8,-202.6,5638.2,310.8,18.1
Redcar and Cleveland,00EE,2005,530.7,231.9,8056.6,60.5,3.6,8883.2,129.1,198.3,10.8,338.2,119.9,0,98.2,2.9,1,222,-0.8,9442.6,138.2,68.3
South Tyneside,00CL,2005,148.8,66.8,0,23.1,0.4,239.1,127.3,234,6.1,367.4,98.8,2.6,87.2,2.2,0.8,191.5,1.2,799.2,149.6,5.3
Stockton-on-Tees,00EF,2005,509.6,364.9,1791,79.1,2.8,2747.4,167.8,267.4,10.7,445.9,240.2,0,134.3,7.1,5.9,387.4,-0.8,3579.9,186.4,19.2
Sunderland,00CM,2005,509.6,224.4,17.5,77.5,1,830.1,240.8,443.6,12,696.4,231.2,10.5,208.6,0.8,2.1,453.1,-0.7,1978.9,279.2,7.1
North East Total,,2005,4881,2521.8,13354.1,853.1,156.3,21766.4,2374.7,3866.9,494.2,6735.8,2578.7,322.7,1860.9,98.7,44.5,4905.4,-196.1,33211.5,2547.3,13
Blackburn with Darwen,00EX,2005,293.1,179.5,102.1,60.6,2,637.2,130.4,205.4,7.3,343.2,63.5,51.6,63.3,0.9,2.9,182,2.3,1164.8,142.1,8.2
Blackpool,00EY,2005,196.4,85.5,0,22,0.2,304.1,157,218,4.4,379.5,60.1,0.8,75,0.6,3,139.4,1.9,824.9,143.7,5.7
Bolton,00BL,2005,336,146.7,11.7,75.5,1.6,571.5,261.8,399.7,11,672.5,181.6,133.2,206.9,5.6,2.2,529.5,1.5,1775,265,6.7
Bury,00BM,2005,218,143.1,0,42.3,1.3,404.7,178,290.9,7,475.8,97.4,224.5,120.2,0,1.8,443.9,1.7,1326.1,181,7.3
Cheshire East,00EQ,2005,649.1,362.6,163,159.4,39.2,1373.3,402.9,533.7,130.8,1067.5,446.1,588.8,210.3,18.3,61.5,1324.8,38,3803.6,359.8,10.6
Cheshire West and Chester,00EW,2005,858,431.4,2272.3,118.8,30.4,3710.8,338.4,451.2,73.6,863.2,433.5,357.2,190.9,10.9,43.9,1036.4,34.7,5645.1,327.2,17.3
Cheshire Total,,2005,1507.1,794,2435.3,278.1,69.6,5084,741.3,985,204.5,1930.7,879.6,946,401.2,29.2,105.4,2361.3,72.7,9448.7,687,13.8
Allerdale,16UB,2005,307.9,143.5,260.2,48.1,40.6,800.3,104.3,127.7,38.4,270.4,144,0,63.6,1.5,1,210.2,29,1309.9,95,13.8
Barrow-in-Furness,16UC,2005,191.4,97.1,8.2,20.9,1.3,318.9,65.6,96.5,4.3,166.4,25.1,0,18.2,0.8,0.8,45,2.7,533,70.5,7.6
Carlisle,16UD,2005,221.9,120.8,0.1,40.3,34.2,417.3,110,140.7,34.7,285.4,98.3,128.9,51.3,11.2,4.2,294,29.4,1026,105.6,9.7
Copeland,16UE,2005,63.9,19.5,0,9.8,13,106.1,72.5,97.9,13.2,183.6,55.3,0,27.7,2,0.5,85.4,-2.6,372.4,69.9,5.3
Eden,16UF,2005,174.7,144.3,346.5,32.4,56.5,754.4,73.2,35.7,58.8,167.6,154.2,271.9,62,9.1,1.5,498.7,11.1,1431.8,51.7,27.7
South Lakeland,16UG,2005,190.6,157.9,6,49.6,38.1,442.1,138.2,137.2,35.7,311.2,212.1,167.6,64.5,4.9,4.3,453.3,11.8,1218.4,104.3,11.7
Cumbria Total,,2005,1150.4,683.1,621,201,183.6,2839.1,563.8,635.7,185.1,1384.6,688.9,568.4,287.3,29.6,12.3,1586.5,81.3,5891.4,497,11.9
Halton,00ET,2005,327.2,119.6,677.9,71.1,0.9,1196.7,113.1,169.5,59.6,342.2,130.9,61,70.7,21.5,1.8,285.8,1.9,1826.7,120.4,15.2
Knowsley,00BX,2005,357.3,190.8,2,67.8,1.2,619,141.8,197.4,9.9,349.1,101.7,102.7,139,6.6,1.7,351.6,4.7,1324.3,148.9,8.9
