Total final energy consumption at regional and local authority level: 2003 in GWh (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coal ,,,,Manufactured fuels ,,,,Petroleum products ,,,,,,Natural gas ,,,,Electricity ,,,,Renewables & Waste,,,,Consuming Sector,,
NUTS4 Code,NUTS4 Region,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Road transport,Rail,Total,,Industry & Commercial,Domestic,Total,,Industry & Commercial,Domestic,Total,,Total,,Total,,Industry & Commercial,Domestic,Transport
UKL1605,Blaenau Gwent                 ,22.0,44.3,66.3,,1.3,10.4,11.7,,162.3,8.8,252.3,0.2,423.6,,356.2,622.5,978.8,,173.3,94.3,267.6,,125.9,,"1,873.9",,841.1,780.3,252.5
UKL1705,Bridgend                      ,132.4,67.2,199.6,,198.9,16.1,215.0,,304.0,35.8,911.0,25.2,"1,275.9",,"1,273.0","1,083.9","2,356.9",,418.3,198.2,616.5,,12.6,,"4,676.5",,"2,339.3","1,401.1",936.2
UKL1604,Caerphilly                    ,8.6,122.5,131.0,,1.5,29.0,30.5,,522.2,22.5,762.9,1.4,"1,309.1",,"1,385.8","1,430.3","2,816.1",,393.3,241.1,634.4,,3.4,,"4,924.5",,"2,314.7","1,845.4",764.3
UKL2207,Cardiff                       ,1.4,23.3,24.7,,1.7,5.4,7.1,,342.6,35.2,"2,034.9",29.2,"2,442.0",,"2,287.4","2,252.5","4,539.9",,877.1,481.2,"1,358.4",,26.5,,"8,398.6",,"3,536.8","2,797.7","2,064.1"
UKL1409,Carmarthenshire               ,11.9,189.7,201.6,,4.1,44.8,48.9,,567.8,280.7,"1,826.0",8.8,"2,683.3",,"1,125.5",910.1,"2,035.6",,538.2,296.3,834.5,,11.3,,"5,815.3",,"2,258.8","1,721.6","1,834.8"
UKL1407,Ceredigion                    ,4.3,75.8,80.0,,0.0,17.9,17.9,,173.2,174.6,863.5,0.5,"1,211.7",,169.6,140.4,310.0,,158.0,185.3,343.3,,4.1,,"1,967.0",,509.1,594.0,863.9
UKL1304,Conwy                         ,1.2,34.3,35.5,,0.9,8.0,8.8,,143.5,55.0,"1,184.4",7.0,"1,389.9",,458.4,819.3,"1,277.7",,211.4,247.9,459.4,,7.3,,"3,178.6",,822.7,"1,164.5","1,191.4"
UKL1305,Denbighshire                  ,4.2,60.5,64.7,,0.1,14.4,14.5,,290.4,109.8,838.3,2.1,"1,240.6",,659.9,617.6,"1,277.5",,194.1,202.9,397.0,,46.3,,"3,040.6",,"1,195.0","1,005.1",840.4
UKL2304,Flintshire                  ,116.5,68.6,185.0,,70.8,16.2,87.0,,"1,910.5",156.8,"1,442.9",9.0,"3,519.1",,"1,648.2",998.4,"2,646.7",,703.9,299.1,"1,003.0",,70.7,,"7,511.6",,"4,520.6","1,539.2","1,451.8"
UKL1200,Gwynedd                       ,9.7,91.5,101.2,,0.0,21.6,21.6,,295.1,189.4,"1,352.1",3.1,"1,839.7",,444.2,520.8,965.0,,284.0,326.2,610.2,,10.4,,"3,548.1",,"1,043.4","1,149.5","1,355.2"
UKL1100,Isle of Anglesey              ,5.6,54.3,59.9,,0.4,12.8,13.2,,235.5,135.4,557.4,4.9,933.2,,439.1,242.7,681.9,,201.7,181.2,382.9,,2.2,,"2,073.3",,884.5,626.4,562.3
UKL1504,Merthyr Tydfil                ,0.2,34.3,34.5,,0.4,8.0,8.4,,95.3,7.4,383.5,0.2,486.4,,248.7,489.2,737.9,,109.7,81.2,190.8,,24.3,,"1,482.3",,478.6,620.1,383.7
UKL2103,Monmouthshire                 ,22.2,32.0,54.2,,0.0,7.6,7.7,,276.5,89.2,"1,476.9",21.4,"1,864.1",,"1,399.6",644.6,"2,044.2",,286.9,158.4,445.3,,7.9,,"4,423.4",,"1,993.3",931.8,"1,498.4"
UKL1704,Neath Port Talbot        ,8.4,101.5,109.9,,"1,870.8",24.0,"1,894.8",,314.1,49.9,"1,259.3",21.4,"1,644.7",,864.1,"1,093.2","1,957.3",,"1,249.7",202.4,"1,452.1",,8.2,,"7,067.0",,"4,315.4","1,471.0","1,280.7"
UKL2104,Newport                       ,12.2,23.8,36.0,,10.5,5.7,16.3,,331.6,36.3,"1,854.8",37.9,"2,260.7",,"2,144.1","1,213.3","3,357.4",,838.2,213.6,"1,051.8",,12.8,,"6,735.0",,"3,349.4","1,492.8","1,892.7"
UKL1408,Pembrokeshire                 ,3.1,86.7,89.8,,0.0,20.5,20.5,,"13,446.9",230.8,"1,088.8",3.7,"14,770.2",,236.9,542.5,779.3,,637.7,242.5,880.2,,15.0,,"16,555.1",,"14,339.6","1,123.0","1,092.5"
UKL2400,Powys                         ,7.5,122.0,129.5,,3.3,29.0,32.2,,399.4,282.2,"1,951.7",1.9,"2,635.1",,463.4,533.0,996.5,,272.4,284.3,556.7,,33.5,,"4,383.5",,"1,179.5","1,250.5","1,953.5"
UKL1503,"Rhondda, Cynon, Taff          ",30.2,161.0,191.2,,0.3,38.0,38.3,,589.4,33.1,"1,375.4",14.9,"2,012.7",,"1,032.3","1,864.4","2,896.7",,472.8,333.1,805.8,,9.5,,"5,954.2",,"2,134.4","2,429.5","1,390.3"
UKL1800,Swansea                       ,2.1,76.7,78.8,,0.8,18.1,18.9,,427.9,60.9,"1,342.1",8.0,"1,838.9",,"1,217.1","1,846.8","3,063.9",,523.0,341.1,864.1,,11.5,,"5,876.2",,"2,182.4","2,343.7","1,350.1"
UKL2206,The Vale of Glamorgan    ,76.2,27.2,103.4,,0.1,6.3,6.4,,518.5,46.9,722.0,16.1,"1,303.6",,641.1,669.7,"1,310.7",,366.5,201.4,567.9,,62.5,,"3,354.6",,"1,664.9",951.5,738.2
UKL1606,Torfaen                       ,11.3,20.0,31.3,,1.0,4.9,5.9,,310.1,8.7,399.1,3.2,721.1,,"1,195.9",973.4,"2,169.3",,203.9,131.5,335.4,,16.4,,"3,279.3",,"1,738.5","1,138.4",402.3
UKL2305,Wrexham                       ,20.3,55.3,75.5,,0.1,13.0,13.1,,449.1,86.8,819.0,3.3,"1,358.2",,"1,318.5",769.3,"2,087.8",,847.3,253.3,"1,100.6",,17.9,,"4,653.1",,"2,653.1","1,177.7",822.2
UKL,WALES,511.3,"1,572.4","2,083.8",,"2,167.0",371.7,"2,538.7",,"22,106.0","2,136.2","24,698.2",223.4,"49,163.8",,"21,009.1","20,278.1","41,287.2",,"9,961.5","5,196.4","15,157.9",,540.3,,"110,771.7",,"56,295.2","29,554.9","24,921.6"
UKM1001,Aberdeen City                                                                                       ,3.7,15.6,19.3,,1.1,0.6,1.6,,318.8,52.7,959.3,3.8,"1,334.6",,"1,480.6","1,573.4","3,054.1",,870.9,538.4,"1,409.3",,68.9,,"5,887.9",,"2,744.1","2,180.7",963.1
UKM1002,Aberdeenshire                                                                                    ,7.9,94.8,102.8,,0.9,3.4,4.4,,539.2,361.2,"2,592.6",19.8,"3,512.7",,"1,332.5","1,182.0","2,514.5",,790.4,650.3,"1,440.7",,17.0,,"7,592.1",,"2,688.1","2,291.7","2,612.3"
UKM2101,Angus                                                                                               ,4.4,24.5,28.9,,0.0,2.4,2.4,,255.5,65.6,928.7,17.3,"1,267.0",,374.9,649.6,"1,024.5",,340.7,306.1,646.8,,31.7,,"3,001.3",,"1,007.3","1,048.1",946.0
"UKM3101, UKM4302, UKM4303",Argyll and Bute                                                                                     ,1.6,53.3,54.9,,0.0,4.0,4.0,,185.6,89.7,"1,083.1",10.6,"1,369.0",,132.9,397.9,530.9,,443.5,329.4,773.0,,8.8,,"2,740.6",,772.5,874.4,"1,093.7"
UKM2201,Clackmannanshire                                                                                    ,6.7,7.1,13.8,,0.1,6.2,6.2,,379.3,12.8,175.0,0.0,567.1,,491.2,321.8,813.0,,141.9,108.6,250.5,,70.0,,"1,720.7",,"1,089.2",456.5,175.0
UKM3200,Dumfries and Galloway                                                                               ,33.3,81.6,114.8,,0.6,19.6,20.2,,515.3,230.7,"2,869.6",42.5,"3,658.2",,559.7,683.6,"1,243.3",,457.9,419.0,876.9,,14.8,,"5,928.3",,"1,581.6","1,434.5","2,912.1"
UKM2102,Dundee City                                                                                         ,10.3,1.7,12.0,,0.1,8.9,9.0,,510.4,27.3,539.9,4.1,"1,081.7",,918.4,888.5,"1,806.9",,481.8,412.3,894.1,,46.0,,"3,849.7",,"1,966.9","1,338.8",544.0
UKM3301,East Ayrshire                                                                                       ,4.9,39.3,44.2,,0.0,2.6,2.6,,273.5,33.9,958.2,12.2,"1,277.8",,541.1,994.2,"1,535.3",,255.5,230.1,485.6,,9.9,,"3,355.4",,"1,084.8","1,300.2",970.4
UKM3103,East Dunbartonshire                                                                                 ,6.9,3.7,10.6,,0.0,8.7,8.7,,126.4,23.2,511.8,3.6,665.0,,192.1,939.5,"1,131.6",,151.2,223.7,374.9,,20.3,,"2,211.1",,497.0,"1,198.7",515.4
UKM2301,East Lothian                                                                                        ,126.6,35.8,162.4,,0.0,1.3,1.3,,573.7,31.1,797.8,27.6,"1,430.2",,247.5,628.6,876.2,,392.0,215.3,607.4,,107.4,,"3,184.8",,"1,447.3",912.2,825.4
UKM3501,East Renfrewshire                                                                                   ,3.1,2.0,5.0,,0.5,0.1,0.6,,128.8,14.8,544.1,1.2,688.8,,176.3,736.2,912.5,,60.7,201.1,261.8,,5.3,,"1,874.2",,374.7,954.2,545.3
UKM2500,"Edinburgh, City of                                                                                  ",6.4,6.5,12.9,,0.3,29.9,30.3,,383.8,66.4,"2,364.0",20.4,"2,834.6",,"2,312.3","3,409.6","5,722.0",,"1,398.7","1,068.1","2,466.9",,73.1,,"11,139.7",,"4,174.7","4,580.6","2,384.4"
